Input_Len,Pred_Len,Rate,Model,Loss,Active_Features_Count,Active_Features
100,100,10,NoPosEnc,TailMSE,1,007|era5_pressure_merged_1hPa_filtered_normalized|u
100,100,10,NoPosEnc,FadeTailDist,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,100,10,NoPosEnc,TailW1,1,062|era5_pressure_merged_650hPa_filtered_normalized|t
100,100,10,NoPosEnc,FadeDist,1,238|era5_surface_merged_all_filter_normalized|fg10
100,100,10,NoPosEnc,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,100,10,NoPosEnc,W1,1,064|era5_pressure_merged_650hPa_filtered_normalized|v
100,100,10,NoPosEnc,W2,1,017|era5_pressure_merged_5hPa_filtered_normalized|q
100,300,10,NoPosEnc,TailMSE,1,010|era5_pressure_merged_1hPa_filtered_normalized|vo
100,300,10,NoPosEnc,FadeTailDist,1,060|era5_pressure_merged_650hPa_filtered_normalized|crwc
100,300,10,NoPosEnc,TailW1,1,016|era5_pressure_merged_5hPa_filtered_normalized|r
100,300,10,NoPosEnc,FadeDist,1,056|era5_pressure_merged_650hPa_filtered_normalized|r
100,300,10,NoPosEnc,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,300,10,NoPosEnc,W1,1,063|era5_pressure_merged_650hPa_filtered_normalized|u
100,300,10,NoPosEnc,W2,1,016|era5_pressure_merged_5hPa_filtered_normalized|r
100,900,10,NoPosEnc,TailMSE,1,037|era5_pressure_merged_200hPa_filtered_normalized|cc
100,900,10,NoPosEnc,FadeTailDist,1,034|era5_pressure_merged_30hPa_filtered_normalized|vo
100,900,10,NoPosEnc,TailW1,1,003|era5_pressure_merged_1hPa_filtered_normalized|pv
100,900,10,NoPosEnc,FadeDist,1,047|era5_pressure_merged_200hPa_filtered_normalized|v
100,900,10,NoPosEnc,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,900,10,NoPosEnc,W1,1,061|era5_pressure_merged_650hPa_filtered_normalized|cswc
100,900,10,NoPosEnc,W2,1,001|era5_pressure_merged_1hPa_filtered_normalized|z
100,1500,10,NoPosEnc,TailMSE,1,033|era5_pressure_merged_30hPa_filtered_normalized|w
